store_id,store_name,latitude,longitude,open_time,close_time,is_open,popular_items,available_sizes,current_offer,available_quantity
2001,Costa Coffee FC Road,18.424305,73.749385,06:30,23:59,Yes,Tea|Mocha|Cold Coffee|Americano,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 39, ""M"": 6, ""L"": 48}"
2002,Cafe Coffee Day Camp,18.584617,73.926956,07:00,23:00,No,Sandwich|Hot Cocoa|Mocha|Tea|Muffin|Americano,S|M|L,10% Off on Hot Cocoa,"{""S"": 48, ""M"": 2, ""L"": 27}"
2003,Cafe Coffee Day Viman Nagar,18.508428,73.94139,09:00,23:59,Yes,Cold Coffee|Sandwich|Hot Cocoa,S|M|L,Buy1Get1 Muffin,"{""S"": 31, ""M"": 27, ""L"": 8}"
2004,The Daily Grind Viman Nagar,18.517389,73.762952,09:00,23:59,No,Sandwich|Latte|Tea|Cold Coffee,S|M|L,No Offer,"{""S"": 37, ""M"": 24, ""L"": 39}"
2005,Brew & Co Aundh,18.477316,73.743455,06:30,22:00,No,Muffin|Latte|Mocha|Espresso|Sandwich,S|M|L,No Offer,"{""S"": 22, ""M"": 22, ""L"": 26}"
2006,Brew & Co FC Road,18.559098,73.796127,08:00,20:00,Yes,Cappuccino|Mocha|Cold Coffee|Latte|Hot Cocoa,S|M|L,20% off on Mornings,"{""S"": 2, ""M"": 29, ""L"": 42}"
2007,Bean Brothers Kalyani Nagar,18.523942,73.837781,06:30,23:59,Yes,Tea|Muffin|Mocha|Hot Cocoa|Latte,S|M|L,No Offer,"{""S"": 6, ""M"": 44, ""L"": 43}"
2008,Blue Tokai Wakad,18.519616,73.93145,08:00,22:00,No,Tea|Espresso|Americano|Mocha|Latte,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 13, ""M"": 18, ""L"": 16}"
2009,Starbucks Aundh,18.639495,73.833187,07:00,20:00,Yes,Hot Cocoa|Cappuccino|Americano|Espresso|Sandwich,S|M|L,20% off on Mornings,"{""S"": 50, ""M"": 4, ""L"": 41}"
2010,The Daily Grind Camp,18.59339,73.840599,08:00,22:00,No,Hot Cocoa|Sandwich|Americano|Mocha|Muffin|Cappuccino,S|M|L,10% Off on Hot Cocoa,"{""S"": 40, ""M"": 45, ""L"": 33}"
2011,Costa Coffee Kalyani Nagar,18.520209,73.895293,09:00,23:00,No,Sandwich|Espresso|Mocha,S|M|L,No Offer,"{""S"": 9, ""M"": 15, ""L"": 9}"
2012,The Daily Grind Viman Nagar,18.498862,73.943145,06:30,22:00,No,Hot Cocoa|Cold Coffee|Muffin|Mocha|Americano,S|M|L,Buy1Get1 Muffin,"{""S"": 25, ""M"": 15, ""L"": 7}"
2013,Costa Coffee Koregaon Park,18.407049,73.927991,08:00,23:59,No,Tea|Latte|Espresso|Cappuccino|Cold Coffee|Muffin,S|M|L,10% Off on Hot Cocoa,"{""S"": 16, ""M"": 50, ""L"": 17}"
2014,Roast House Baner,18.555031,73.746836,09:00,20:00,Yes,Mocha|Hot Cocoa|Cappuccino,S|M|L,No Offer,"{""S"": 23, ""M"": 42, ""L"": 42}"
2015,Cafe Coffee Day Viman Nagar,18.626759,73.910516,07:00,22:00,Yes,Sandwich|Muffin|Hot Cocoa,S|M|L,No Offer,"{""S"": 5, ""M"": 15, ""L"": 38}"
2016,Cafe Coffee Day Wakad,18.479429,73.876938,09:00,22:00,No,Cold Coffee|Cappuccino|Muffin|Sandwich,S|M|L,20% off on Mornings,"{""S"": 28, ""M"": 26, ""L"": 16}"
2017,Coffee Corner FC Road,18.518086,73.826629,06:30,23:00,No,Espresso|Hot Cocoa|Cold Coffee|Americano|Muffin|Tea,S|M|L,20% off on Mornings,"{""S"": 1, ""M"": 41, ""L"": 38}"
2018,Starbucks FC Road,18.566164,73.926013,07:00,23:00,No,Mocha|Cappuccino|Espresso|Tea|Americano,S|M|L,No Offer,"{""S"": 0, ""M"": 25, ""L"": 16}"
2019,The Daily Grind MG Road,18.625117,73.9183,08:00,22:00,Yes,Mocha|Tea|Latte|Cold Coffee|Americano|Espresso,S|M|L,No Offer,"{""S"": 47, ""M"": 26, ""L"": 21}"
2020,Bean Brothers MG Road,18.598256,73.904336,06:30,23:00,No,Americano|Latte|Sandwich|Mocha|Tea,S|M|L,Buy1Get1 Muffin,"{""S"": 40, ""M"": 28, ""L"": 50}"
2021,Costa Coffee FC Road,18.496559,73.887491,08:00,20:00,Yes,Espresso|Sandwich|Cold Coffee|Tea,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 43, ""M"": 26, ""L"": 50}"
2022,Brew & Co Pune Central,18.515208,73.913141,08:00,22:00,No,Espresso|Cappuccino|Tea|Cold Coffee|Sandwich,S|M|L,No Offer,"{""S"": 24, ""M"": 36, ""L"": 14}"
2023,Starbucks FC Road,18.621947,73.892006,07:00,20:00,No,Hot Cocoa|Cold Coffee|Latte|Espresso,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 27, ""M"": 38, ""L"": 16}"
2024,Costa Coffee MG Road,18.630328,73.777529,06:30,20:00,No,Americano|Cappuccino|Espresso|Mocha|Sandwich|Tea,S|M|L,20% off on Mornings,"{""S"": 18, ""M"": 47, ""L"": 31}"
2025,Bean Brothers Baner,18.503914,73.786285,07:00,23:00,Yes,Cold Coffee|Tea|Muffin|Latte|Americano|Mocha,S|M|L,Buy1Get1 Muffin,"{""S"": 39, ""M"": 28, ""L"": 15}"
2026,Brew & Co Kalyani Nagar,18.564624,73.846659,06:30,23:59,Yes,Tea|Espresso|Muffin|Mocha|Sandwich,S|M|L,Flat Rs.50 off on orders above 300,"{""S"": 16, ""M"": 4, ""L"": 6}"
2027,Roast House FC Road,18.412907,73.960156,09:00,23:00,Yes,Hot Cocoa|Sandwich|Tea,S|M|L,20% off on Mornings,"{""S"": 25, ""M"": 42, ""L"": 23}"
2028,Costa Coffee Camp,18.41027,73.779749,07:00,23:59,No,Cold Coffee|Cappuccino|Mocha|Americano|Hot Cocoa|Espresso,S|M|L,Buy1Get1 Muffin,"{""S"": 16, ""M"": 7, ""L"": 20}"
2029,Starbucks Baner,18.520211,73.970309,08:00,23:00,No,Hot Cocoa|Muffin|Mocha|Espresso|Cappuccino,S|M|L,20% off on Mornings,"{""S"": 47, ""M"": 31, ""L"": 48}"
2030,Costa Coffee Camp,18.605128,73.894481,09:00,20:00,Yes,Latte|Espresso|Cold Coffee|Muffin,S|M|L,No Offer,"{""S"": 16, ""M"": 10, ""L"": 45}"
2031,Urban Sip Viman Nagar,18.428246,73.951542,09:00,20:00,No,Sandwich|Americano|Muffin|Espresso|Latte,S|M|L,Buy1Get1 Muffin,"{""S"": 7, ""M"": 22, ""L"": 5}"
2032,Blue Tokai Aundh,18.443757,73.777091,08:00,22:00,Yes,Tea|Cappuccino|Espresso|Muffin,S|M|L,No Offer,"{""S"": 43, ""M"": 6, ""L"": 21}"
2033,Starbucks Aundh,18.563915,73.900053,09:00,23:00,Yes,Cold Coffee|Latte|Cappuccino|Espresso|Mocha,S|M|L,No Offer,"{""S"": 29, ""M"": 40, ""L"": 17}"
2034,Coffee Corner FC Road,18.479462,73.747223,09:00,23:00,Yes,Latte|Hot Cocoa|Mocha|Tea,S|M|L,10% Off on Hot Cocoa,"{""S"": 47, ""M"": 4, ""L"": 35}"
2035,Coffee Corner Viman Nagar,18.422612,73.797939,07:00,23:59,Yes,Espresso|Cold Coffee|Tea,S|M|L,No Offer,"{""S"": 18, ""M"": 41, ""L"": 48}"
2036,Costa Coffee MG Road,18.472051,73.928964,08:00,22:00,No,Mocha|Sandwich|Espresso,S|M|L,No Offer,"{""S"": 28, ""M"": 24, ""L"": 30}"
